group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
7	clock	kl	3	tee-clock2.wav	boo-cElock1.wav	med_epen	tee	1
3	clock	kl	3	tee-clock2.wav	boo-cElock1.wav	med_epen	tee	1
3	closet	kl	3	tee-closet1.wav	boo-cEloset2.wav	med_epen	tee	2
7	closet	kl	3	tee-closet1.wav	boo-cEloset2.wav	med_epen	tee	2
5	clock	kl	3	tee-clock2.wav	boo-cock2.wav	med_del	tee	1
1	clock	kl	3	tee-clock2.wav	boo-cock2.wav	med_del	tee	1
1	closet	kl	3	tee-closet1.wav	boo-coset1.wav	med_del	tee	2
5	closet	kl	3	tee-closet1.wav	boo-coset1.wav	med_del	tee	2
5	music	mj	2	tee-mjusic1.wav	boo-Emjusic2.wav	init_epen	tee	2
1	music	mj	2	tee-mjusic1.wav	boo-Emjusic2.wav	init_epen	tee	2
7	sleeping	sl	2	tee-sleeping2.wav	boo-Esleeping1.wav	init_epen	tee	2
3	sleeping	sl	2	tee-sleeping2.wav	boo-Esleeping1.wav	init_epen	tee	2
2	smile	sm	1	tee-smile2.wav	boo-Esmile1.wav	init_epen	tee	2
6	smile	sm	1	tee-smile2.wav	boo-Esmile1.wav	init_epen	tee	2
2	spaceship	sp	-1	tee-spaceship2.wav	boo-Espaceship2.wav	init_epen	tee	2
6	spaceship	sp	-1	tee-spaceship2.wav	boo-Espaceship2.wav	init_epen	tee	2
4	swimming	sw	3	tee-swimming2.wav	boo-Eswimming1.wav	init_epen	tee	2
8	swimming	sw	3	tee-swimming2.wav	boo-Eswimming1.wav	init_epen	tee	2
3	freezer	fr	2	tee-freezer2.wav	boo-feezer2.wav	med_del	tee	2
7	freezer	fr	2	tee-freezer2.wav	boo-feezer2.wav	med_del	tee	2
4	flip	fl	2	tee-flip1.wav	boo-fElip2.wav	med_epen	tee	1
8	flip	fl	2	tee-flip1.wav	boo-fElip2.wav	med_epen	tee	1
8	flower	fl	2	tee-flower2.wav	boo-fElower1.wav	med_epen	tee	2
4	flower	fl	2	tee-flower2.wav	boo-fElower1.wav	med_epen	tee	2
1	freezer	fr	2	tee-freezer2.wav	boo-fEreezer2.wav	med_epen	tee	2
5	freezer	fr	2	tee-freezer2.wav	boo-fEreezer2.wav	med_epen	tee	2
5	frog	fr	2	tee-frog1.wav	boo-fErog2.wav	med_epen	tee	1
1	frog	fr	2	tee-frog1.wav	boo-fErog2.wav	med_epen	tee	1
2	flip	fl	2	tee-flip1.wav	boo-fip2.wav	med_del	tee	1
6	flip	fl	2	tee-flip1.wav	boo-fip2.wav	med_del	tee	1
7	frog	fr	2	tee-frog1.wav	boo-fog2.wav	med_del	tee	1
3	frog	fr	2	tee-frog1.wav	boo-fog2.wav	med_del	tee	1
6	flower	fl	2	tee-flower2.wav	boo-fower1.wav	med_del	tee	2
2	flower	fl	2	tee-flower2.wav	boo-fower1.wav	med_del	tee	2
7	music	mj	2	tee-mjusic1.wav	boo-jusic2.wav	init_del	tee	2
3	music	mj	2	tee-mjusic1.wav	boo-jusic2.wav	init_del	tee	2
5	sleeping	sl	2	tee-sleeping2.wav	boo-leeping1.wav	init_del	tee	2
1	sleeping	sl	2	tee-sleeping2.wav	boo-leeping1.wav	init_del	tee	2
4	smile	sm	1	tee-smile2.wav	boo-mile1.wav	init_del	tee	2
8	smile	sm	1	tee-smile2.wav	boo-mile1.wav	init_del	tee	2
4	spaceship	sp	-1	tee-spaceship2.wav	boo-paceship1.wav	init_del	tee	2
8	spaceship	sp	-1	tee-spaceship2.wav	boo-paceship1.wav	init_del	tee	2
3	planet	pl	3	tee-planet1.wav	boo-panet2.wav	med_del	tee	2
7	planet	pl	3	tee-planet1.wav	boo-panet2.wav	med_del	tee	2
4	piano	mj	2	tee-pjano2.wav	boo-pano2.wav	med_del	tee	2
8	piano	mj	2	tee-pjano2.wav	boo-pano2.wav	med_del	tee	2
7	plate	pl	3	tee-plate2.wav	boo-pate2.wav	med_del	tee	1
3	plate	pl	3	tee-plate2.wav	boo-pate2.wav	med_del	tee	1
2	piano	mj	2	tee-pjano2.wav	boo-pEjano2.wav	med_epen	tee	2
6	piano	mj	2	tee-pjano2.wav	boo-pEjano2.wav	med_epen	tee	2
1	planet	pl	3	tee-planet1.wav	boo-pElanet1.wav	med_epen	tee	2
5	planet	pl	3	tee-planet1.wav	boo-pElanet1.wav	med_epen	tee	2
5	plate	pl	3	tee-plate2.wav	boo-pElate2.wav	med_epen	tee	1
1	plate	pl	3	tee-plate2.wav	boo-pElate2.wav	med_epen	tee	1
4	snake	sn	1	tee-snake2.wav	boo-sake2.wav	med_del	tee	1
8	snake	sn	1	tee-snake2.wav	boo-sake2.wav	med_del	tee	1
8	skateboard	sk	-1	tee-skateboard1.wav	boo-sateboard1.wav	med_del	tee	2
4	skateboard	sk	-1	tee-skateboard1.wav	boo-sateboard1.wav	med_del	tee	2
6	skateboard	sk	-1	tee-skateboard1.wav	boo-sEkateboard2.wav	med_epen	tee	2
2	skateboard	sk	-1	tee-skateboard1.wav	boo-sEkateboard2.wav	med_epen	tee	2
2	skis	sk	-1	tee-skis1.wav	boo-sEkis1.wav	med_epen	tee	1
6	skis	sk	-1	tee-skis1.wav	boo-sEkis1.wav	med_epen	tee	1
4	slide	sl	2	tee-slide2.wav	boo-sElide1.wav	med_epen	tee	1
8	slide	sl	2	tee-slide2.wav	boo-sElide1.wav	med_epen	tee	1
7	smoke	sm	1	tee-smoke2.wav	boo-sEmoke1.wav	med_epen	tee	1
3	smoke	sm	1	tee-smoke2.wav	boo-sEmoke1.wav	med_epen	tee	1
2	snake	sn	1	tee-snake2.wav	boo-sEnake2.wav	med_epen	tee	1
6	snake	sn	1	tee-snake2.wav	boo-sEnake2.wav	med_epen	tee	1
6	snowman	sn	1	tee-snowman2.wav	boo-sEnowman2.wav	med_epen	tee	2
2	snowman	sn	1	tee-snowman2.wav	boo-sEnowman2.wav	med_epen	tee	2
7	spoon	sp	-1	tee-spoon2.wav	boo-sEpoon2.wav	med_epen	tee	1
3	spoon	sp	-1	tee-spoon2.wav	boo-sEpoon2.wav	med_epen	tee	1
5	swing	sw	3	tee-swing1.wav	boo-sEwing2.wav	med_epen	tee	1
1	swing	sw	3	tee-swing1.wav	boo-sEwing2.wav	med_epen	tee	1
2	slide	sl	2	tee-slide2.wav	boo-side1.wav	med_del	tee	1
6	slide	sl	2	tee-slide2.wav	boo-side1.wav	med_del	tee	1
7	swing	sw	3	tee-swing1.wav	boo-sing1.wav	med_del	tee	1
3	swing	sw	3	tee-swing1.wav	boo-sing1.wav	med_del	tee	1
4	skis	sk	-1	tee-skis1.wav	boo-sis2.wav	med_del	tee	1
8	skis	sk	-1	tee-skis1.wav	boo-sis2.wav	med_del	tee	1
5	smoke	sm	1	tee-smoke2.wav	boo-soke2.wav	med_del	tee	1
1	smoke	sm	1	tee-smoke2.wav	boo-soke2.wav	med_del	tee	1
5	spoon	sp	-1	tee-spoon2.wav	boo-soon3.wav	med_del	tee	1
1	spoon	sp	-1	tee-spoon2.wav	boo-soon3.wav	med_del	tee	1
8	snowman	sn	1	tee-snowman2.wav	boo-sowman1.wav	med_del	tee	2
4	snowman	sn	1	tee-snowman2.wav	boo-sowman1.wav	med_del	tee	2
2	swimming	sw	3	tee-swimming2.wav	boo-wimming2.wav	init_del	tee	2
6	swimming	sw	3	tee-swimming2.wav	boo-wimming2.wav	init_del	tee	2
6	clock	kl	3	boo-clock2.wav	tee-Eclock2.wav	init_epen	boo	1
2	clock	kl	3	boo-clock2.wav	tee-Eclock2.wav	init_epen	boo	1
2	closet	kl	3	boo-closet2.wav	tee-Ecloset1.wav	init_epen	boo	2
6	closet	kl	3	boo-closet2.wav	tee-Ecloset1.wav	init_epen	boo	2
3	flip	fl	2	boo-flip3.wav	tee-Eflip1.wav	init_epen	boo	1
7	flip	fl	2	boo-flip3.wav	tee-Eflip1.wav	init_epen	boo	1
7	flower	fl	2	boo-flower1.wav	tee-Eflower2.wav	init_epen	boo	2
3	flower	fl	2	boo-flower1.wav	tee-Eflower2.wav	init_epen	boo	2
4	freezer	fr	2	boo-freezer2.wav	tee-Efreezer2.wav	init_epen	boo	2
8	freezer	fr	2	boo-freezer2.wav	tee-Efreezer2.wav	init_epen	boo	2
8	frog	fr	2	boo-frog2.wav	tee-Efrog2.wav	init_epen	boo	1
4	frog	fr	2	boo-frog2.wav	tee-Efrog2.wav	init_epen	boo	1
1	piano	mj	2	boo-pjano1.wav	tee-Epjano3.wav	init_epen	boo	2
5	piano	mj	2	boo-pjano1.wav	tee-Epjano3.wav	init_epen	boo	2
4	planet	pl	3	boo-planet1.wav	tee-Eplanet2.wav	init_epen	boo	2
8	planet	pl	3	boo-planet1.wav	tee-Eplanet2.wav	init_epen	boo	2
8	plate	pl	3	boo-plate1.wav	tee-Eplate2.wav	init_epen	boo	1
4	plate	pl	3	boo-plate1.wav	tee-Eplate2.wav	init_epen	boo	1
5	skateboard	sk	-1	boo-skateboard1.wav	tee-Eskateboard2.wav	init_epen	boo	2
1	skateboard	sk	-1	boo-skateboard1.wav	tee-Eskateboard2.wav	init_epen	boo	2
1	skis	sk	-1	boo-skis1.wav	tee-Eskis1.wav	init_epen	boo	1
5	skis	sk	-1	boo-skis1.wav	tee-Eskis1.wav	init_epen	boo	1
3	slide	sl	2	boo-slide2.wav	tee-Eslide1.wav	init_epen	boo	1
7	slide	sl	2	boo-slide2.wav	tee-Eslide1.wav	init_epen	boo	1
6	smoke	sm	1	boo-smoke2.wav	tee-Esmoke2.wav	init_epen	boo	1
2	smoke	sm	1	boo-smoke2.wav	tee-Esmoke2.wav	init_epen	boo	1
1	snake	sn	1	boo-snake2.wav	tee-Esnake1.wav	init_epen	boo	1
5	snake	sn	1	boo-snake2.wav	tee-Esnake1.wav	init_epen	boo	1
5	snowman	sn	1	boo-snowman2.wav	tee-Esnowman2.wav	init_epen	boo	2
1	snowman	sn	1	boo-snowman2.wav	tee-Esnowman2.wav	init_epen	boo	2
6	spoon	sp	-1	boo-spoon1.wav	tee-Espoon2.wav	init_epen	boo	1
2	spoon	sp	-1	boo-spoon1.wav	tee-Espoon2.wav	init_epen	boo	1
8	swing	sw	3	boo-swing2.wav	tee-Eswing1.wav	init_epen	boo	1
4	swing	sw	3	boo-swing2.wav	tee-Eswing1.wav	init_epen	boo	1
3	piano	mj	2	boo-pjano1.wav	tee-jano2.wav	init_del	boo	2
7	piano	mj	2	boo-pjano1.wav	tee-jano2.wav	init_del	boo	2
7	skateboard	sk	-1	boo-skateboard1.wav	tee-kateboard2.wav	init_del	boo	2
3	skateboard	sk	-1	boo-skateboard1.wav	tee-kateboard2.wav	init_del	boo	2
3	skis	sk	-1	boo-skis1.wav	tee-kis2.wav	init_del	boo	1
7	skis	sk	-1	boo-skis1.wav	tee-kis2.wav	init_del	boo	1
2	planet	pl	3	boo-planet1.wav	tee-lanet1.wav	init_del	boo	2
6	planet	pl	3	boo-planet1.wav	tee-lanet1.wav	init_del	boo	2
