group	item	cluster	sonDiff	corr_file	comparison_file	trial_type	repair	whoIsCorrect	sylls
5	spawl	sp	-1	boo-spawl1.wav	tee-Espawl2.wav	diff	init_epen	boo	1
6	spawl	sp	-1	tee-spawl1.wav	boo-sEpawl.wav	diff	med_epen	tee	1
7	spawl	sp	-1	boo-spawl1.wav	tee-pawl2.wav	diff	init_del	boo	1
8	spawl	sp	-1	tee-spawl1.wav	boo-sawl.wav	diff	med_del	tee	1
1	spawl	sp	-1	boo-spawl1.wav	tee-spawl1.wav	same	none	both	1
2	spawl	sp	-1	boo-spawl1.wav	tee-spawl1.wav	same	none	both	1
3	spawl	sp	-1	boo-spawl1.wav	tee-spawl1.wav	same	none	both	1
4	spawl	sp	-1	boo-spawl1.wav	tee-spawl1.wav	same	none	both	1
1	spigern	sp	-1	tee-spigern3.wav	boo-Espigern1.wav	diff	init_epen	tee	2
2	spigern	sp	-1	boo-spigern2.wav	tee-sEpigern2.wav	diff	med_epen	boo	2
3	spigern	sp	-1	tee-spigern3.wav	boo-pigern2.wav	diff	init_del	tee	2
4	spigern	sp	-1	boo-spigern2.wav	tee-sigern1.wav	diff	med_del	boo	2
5	spigern	sp	-1	tee-spigern3.wav	boo-spigern2.wav	same	none	both	2
6	spigern	sp	-1	tee-spigern3.wav	boo-spigern2.wav	same	none	both	2
7	spigern	sp	-1	tee-spigern3.wav	boo-spigern2.wav	same	none	both	2
8	spigern	sp	-1	tee-spigern3.wav	boo-spigern2.wav	same	none	both	2
4	skeeb	sk	-1	tee-skib2.wav	boo-Eskib2.wav	diff	init_epen	tee	1
1	skeeb	sk	-1	boo-skib1.wav	tee-sEkib2.wav	diff	med_epen	boo	1
2	skeeb	sk	-1	tee-skib2.wav	boo-kib1.wav	diff	init_del	tee	1
3	skeeb	sk	-1	boo-skib1.wav	tee-sib2.wav	diff	med_del	boo	1
5	skeeb	sk	-1	tee-skib2.wav	boo-skib1.wav	same	none	both	1
6	skeeb	sk	-1	tee-skib2.wav	boo-skib1.wav	same	none	both	1
7	skeeb	sk	-1	tee-skib2.wav	boo-skib1.wav	same	none	both	1
8	skeeb	sk	-1	tee-skib2.wav	boo-skib1.wav	same	none	both	1
8	skuvogue	sk	-1	boo-skuvowg1.wav	tee-Eskuvowg2.wav	diff	init_epen	boo	2
5	skuvogue	sk	-1	tee-skuvowg2.wav	boo-sEkuvowg1.wav	diff	med_epen	tee	2
6	skuvogue	sk	-1	boo-skuvowg1.wav	tee-kuvowg2.wav	diff	init_del	boo	2
7	skuvogue	sk	-1	tee-skuvowg2.wav	boo-suvowg1.wav	diff	med_del	tee	2
1	skuvogue	sk	-1	tee-skuvowg2.wav	boo-skuvowg1.wav	same	none	both	2
2	skuvogue	sk	-1	tee-skuvowg2.wav	boo-skuvowg1.wav	same	none	both	2
3	skuvogue	sk	-1	tee-skuvowg2.wav	boo-skuvowg1.wav	same	none	both	2
4	skuvogue	sk	-1	tee-skuvowg2.wav	boo-skuvowg1.wav	same	none	both	2
7	freg	fr	2	tee-freg2.wav	boo-Efreg2.wav	diff	init_epen	tee	1
8	freg	fr	2	boo-freg1.wav	tee-fEreg2.wav	diff	med_epen	boo	1
5	freg	fr	2	tee-freg2.wav	boo-reg2.wav	diff	init_del	tee	1
6	freg	fr	2	boo-freg1.wav	tee-feg2.wav	diff	med_del	boo	1
1	freg	fr	2	tee-freg2.wav	boo-freg1.wav	same	none	both	1
2	freg	fr	2	tee-freg2.wav	boo-freg1.wav	same	none	both	1
3	freg	fr	2	tee-freg2.wav	boo-freg1.wav	same	none	both	1
4	freg	fr	2	tee-freg2.wav	boo-freg1.wav	same	none	both	1
3	frugash	fr	2	boo-frugaesh1.wav	tee-Efrugaesh1.wav	diff	init_epen	boo	2
4	frugash	fr	2	tee-frugaesh1.wav	boo-fErugaesh1.wav	diff	med_epen	tee	2
1	frugash	fr	2	boo-frugaesh1.wav	tee-rugaesh1.wav	diff	init_del	boo	2
2	frugash	fr	2	tee-frugaesh1.wav	boo-fugaesh1.wav	diff	med_del	tee	2
5	frugash	fr	2	tee-frugaesh1.wav	boo-frugaesh1.wav	same	none	both	2
6	frugash	fr	2	tee-frugaesh1.wav	boo-frugaesh1.wav	same	none	both	2
7	frugash	fr	2	tee-frugaesh1.wav	boo-frugaesh1.wav	same	none	both	2
8	frugash	fr	2	tee-frugaesh1.wav	boo-frugaesh1.wav	same	none	both	2
2	flayben	fl	2	tee-fleiben2.wav	boo-Efleiben1.wav	diff	init_epen	tee	2
3	flayben	fl	2	boo-fleiben2.wav	tee-fEleiben2.wav	diff	med_epen	boo	2
4	flayben	fl	2	tee-fleiben2.wav	boo-leiben1.wav	diff	init_del	tee	2
1	flayben	fl	2	boo-fleiben2.wav	tee-feiben3.wav	diff	med_del	boo	2
5	flayben	fl	2	boo-fleiben2.wav	tee-fleiben2.wav	same	none	both	2
6	flayben	fl	2	boo-fleiben2.wav	tee-fleiben2.wav	same	none	both	2
7	flayben	fl	2	boo-fleiben2.wav	tee-fleiben2.wav	same	none	both	2
8	flayben	fl	2	boo-fleiben2.wav	tee-fleiben2.wav	same	none	both	2
6	flope	fl	2	boo-flowp1.wav	tee-Eflowp2.wav	diff	init_epen	boo	1
7	flope	fl	2	tee-flowp2.wav	boo-fElowp2.wav	diff	med_epen	tee	1
8	flope	fl	2	boo-flowp1.wav	tee-lowp2.wav	diff	init_del	boo	1
5	flope	fl	2	tee-flowp2.wav	boo-fowp2.wav	diff	med_del	tee	1
1	flope	fl	2	tee-flowp2.wav	boo-flowp1.wav	same	none	both	1
2	flope	fl	2	tee-flowp2.wav	boo-flowp1.wav	same	none	both	1
3	flope	fl	2	tee-flowp2.wav	boo-flowp1.wav	same	none	both	1
4	flope	fl	2	tee-flowp2.wav	boo-flowp1.wav	same	none	both	1
5	klaith	kl	3	tee-klaith2.wav	boo-Eklaith2.wav	diff	init_epen	tee	1
6	klaith	kl	3	boo-klaith1.wav	tee-kElaith2.wav	diff	med_epen	boo	1
7	klaith	kl	3	tee-klaith2.wav	boo-laith2.wav	diff	init_del	tee	1
8	klaith	kl	3	boo-klaith1.wav	tee-kaith1.wav	diff	med_del	boo	1
1	klaith	kl	3	boo-klaith1.wav	tee-klaith2.wav	same	none	both	1
2	klaith	kl	3	boo-klaith1.wav	tee-klaith2.wav	same	none	both	1
3	klaith	kl	3	boo-klaith1.wav	tee-klaith2.wav	same	none	both	1
4	klaith	kl	3	boo-klaith1.wav	tee-klaith2.wav	same	none	both	1
1	kleebat	kl	3	boo-klibaet2.wav	tee-Eklibaet3.wav	diff	init_epen	boo	2
2	kleebat	kl	3	tee-klibaet2.wav	boo-kElibaet2.wav	diff	med_epen	tee	2
3	kleebat	kl	3	boo-klibaet2.wav	tee-libaet2.wav	diff	init_del	boo	2
4	kleebat	kl	3	tee-klibaet2.wav	boo-kibaet1.wav	diff	med_del	tee	2
5	kleebat	kl	3	tee-klibaet2.wav	boo-klibaet2.wav	same	none	both	2
6	kleebat	kl	3	tee-klibaet2.wav	boo-klibaet2.wav	same	none	both	2
7	kleebat	kl	3	tee-klibaet2.wav	boo-klibaet2.wav	same	none	both	2
8	kleebat	kl	3	tee-klibaet2.wav	boo-klibaet2.wav	same	none	both	2
4	mewd	mj	2	boo-mjud1.wav	tee-Emjud2.wav	diff	init_epen	boo	1
1	mewd	mj	2	tee-mjud2.wav	boo-mEjud2.wav	diff	med_epen	tee	1
2	mewd	mj	2	boo-mjud1.wav	tee-jud1.wav	diff	init_del	boo	1
